,GDG,NEI,COM,FLO
F1,0.790117737,0.956873571,0.240673329,0.669240556
F2,0.242647222,0.620933271,0.586588931,0.3315948
F3,0.820631068,0.891019417,0.509951456,0.323300971
F4,0.658882226,0.754280887,0.53428993,0.40315296
F5,0.658006536,0.657761438,0.619771242,0.437418301
F6,0.474182198,0.697550233,0.496010483,0.546782178
F7,0.568609565,0.700231911,0.487868481,0.51473064
F8,0.357142656,0.799736914,0.347639174,0.5
F9,0.610139159,0.742850946,0.607300994,0.538043478
F10,0.351215508,0.781400006,0.434070295,0.48750773
F11,0.449714449,0.682583762,0.506853227,0.538830192
F12,0.461071695,0.741112771,0.477931292,0.431796117
F13,0.844849434,0.818608378,0.601423673,0.280948122
F14,0.938548257,0.993758764,0.937587642,0.347361622
F15,0.92702088,0.748888944,0.666125631,0.719115406
F16,0.538793103,0.653962202,0.724233716,0.513783893
F17,0.764121458,0.916082945,0.181231201,0.750091005
F18,0.92044293,0.9040923,0.368218722,0.904557438
F19,0.400410115,0.714991021,0.576858862,0.527392739
F20,0.396489267,0.732412791,0.468686643,0.485457662
F21,0.696273107,0.688454085,0.793463029,0.632778026
F22,0.947182749,0.744541334,0.571703821,0.812546236
F23,0.36110559,0.804524551,0.346762618,0.501377433
F24,0.464148505,0.710012159,0.514565723,0.484737319
F25,0.913646803,0.801187243,0.363040622,0.802372829
F26,0.510936199,0.589946693,0.690054973,0.373833916
F27,0.43278975,0.693954248,0.363657542,0.543959102
F28,0.686099794,0.793491283,0.696456767,0.402755695
F29,0.430359273,0.685834079,0.74572898,0.302586464
F30,0.660661656,0.789511494,0.678919835,0.546807766
F31,0.608566034,0.749311283,0.341595173,0.471677046
F32,0.6358,0.6532,0.5304,0.52885
F33,0.692961852,0.826724138,0.554272864,0.536948193
F34,0.689306111,0.861583857,0.457000761,0.526894156
F35,0.37438879,0.556302177,0.417844365,0.584164431
F36,0.515406977,0.553458557,0.506723315,0.496574985
F37,0.821153846,0.769711538,0.671153846,0.6
F38,0.775066313,0.764922266,0.632537577,0.586076113
F39,0.710128827,0.841486184,0.698599701,0.56257935
F40,0.802118332,0.819260242,0.494566018,0.692508473
F41,0.958760783,0.919915282,0.321228701,0.819126385
F42,0.48974359,0.737540996,0.422257007,0.623833482
F43,0.959554182,0.935455562,0.812792063,0.718216398
F44,0.311650485,0.92098581,0.588452203,0.655680545
F45,0.609109081,0.785765277,0.638159147,0.538825433
F46,0.319046566,0.671218317,0.354848217,0.555317934
F47,0.807386702,0.847573792,0.554874776,0.582107185
F48,0.917578559,0.97124966,0.153876277,0.908997397
F49,0.759300932,0.988009354,0.206128062,0.427470566
F50,0.932887683,0.972203837,0.124614836,0.512647907
F51,0.917455055,0.860595343,0.245431771,0.406550251
F52,0.893703598,0.939182372,0.90636779,0.605879973
